word_segment,times,co,fr_left,fr_right,score
从梦中,7,998.3351351351351,2.5216406363433186,1.6644977792004616,4190.2773597099385
尤氏一,7,530.7241379310344,2.8073549220576046,2.8073549220576046,4182.765184981058
虽说是,18,275.3172670807453,3.8365916681089782,3.9477027792200894,4169.879227014243
及到了,6,716.3232062055591,2.5849625007211556,2.2516291673878226,4169.271087624113
薛大哥,9,497.67305389221565,3.169925001442312,2.6416041678685933,4167.358429225428
有一段,6,715.8604651162791,2.2516291673878226,2.5849625007211556,4166.577760048128
至跟前,6,839.5090909090909,1.9182958340544896,2.5849625007211556,4162.892866809181
坐不住,5,932.7878787878788,2.3219280948873617,1.9219280948873625,4162.639449968165
摇头说,8,643.5261324041812,3.0,2.1556390622295662,4161.630205727906
了好几,19,339.93490264458006,4.0374011976541135,3.0311161724560205,4160.066251563417
要告诉,19,429.51627906976745,3.0105709342684843,3.215841172683754,4158.369571517936
问如何,5,1176.3821656050955,1.521928094887362,2.3219280948873617,4157.108239575298
个嬷嬷,5,1176.3821656050955,1.521928094887362,2.3219280948873617,4157.108239575298
银子都,8,604.5564648117839,2.75,2.5,4156.325695581015
就是了,193,135.85262820903714,5.758732719892856,5.311847993607198,4155.665715475601
姑奶奶,47,173.09465791940016,4.791305809530249,5.009702884136429,4154.794281965151
身上好,11,555.9967159277504,3.0957952550009344,2.4130884364257583,4153.53328522537
侄儿也,5,929.0342052313883,2.3219280948873617,1.9219280948873625,4145.8883857831825
刚才说,6,835.710407239819,2.5849625007211556,1.9182958340544891,4144.056247502352
房中也,5,1119.3454545454545,1.9219280948873625,1.9219280948873625,4134.64674917165
笑让坐,8,766.356846473029,2.1556390622295662,2.5,4129.97188466082
李纨忙,8,500.520325203252,2.75,3.0,4129.292682926829
在园内,12,353.3647959183673,3.4182958340544896,3.4182958340544896,4128.978030214542
紫鹃一,8,599.6493506493507,2.75,2.5,4122.589285714286
去如今,19,276.48502994011983,3.892407118592879,3.82687488186464,4118.453276040317
诸人都,5,763.1900826446281,2.3219280948873617,2.3219280948873617,4114.624911463104
姑娘的,73,159.46959051877084,4.683329100646635,5.499899518104675,4107.592111935961
他姊妹,27,305.27603305785124,4.106377316818028,3.2743627447176515,4104.670991797652
罢不用,8,632.5068493150685,2.1556390622295662,3.0,4090.3694145339355
的鸳鸯,7,875.3175355450238,2.8073549220576046,1.6644977792004616,4090.2153205799286
主意便,7,879.4857142857143,1.8423709931771088,2.5216406363433186,4085.912588663294
的苦处,5,914.3168316831683,2.3219280948873617,1.9219280948873625,4080.2109460083993
姊妹一,7,641.2916666666666,2.5216406363433186,2.5216406363433186,4077.763043288437
像个人,6,609.2094557449147,2.5849625007211556,2.5849625007211556,4070.7565480598596
在枕上,10,392.12738853503197,3.3219280948873617,3.1219280948873616,4066.682817910313
所以老,5,753.8448979591836,2.3219280948873617,2.3219280948873617,4064.2417492819222
所以都,5,753.8448979591836,2.3219280948873617,2.3219280948873617,4064.2417492819222
个道理,8,747.7408906882591,1.8112781244591327,3.0,4063.1001542016943
自回房,9,634.680412371134,2.6416041678685933,2.4193819456463714,4056.2738885325707
个名字,9,667.5614457831325,2.058813890331201,2.94770277922009,4051.2778275524415
的人物,7,571.8018575851394,2.5216406363433186,2.8073549220576046,4047.8655462558745
事探春,6,605.5475409836066,2.5849625007211556,2.5849625007211556,4046.287519628899
着惜春,6,605.5475409836066,2.5849625007211556,2.5849625007211556,4046.287519628899
岂不比,5,749.5616883116883,2.3219280948873617,2.3219280948873617,4041.1494666155477
奶奶们,30,238.6201550387597,3.7232314287976207,4.548394345536403,4040.9666520332344
